lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
Xist	Dhx9	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Erh	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf10	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpc	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpa1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpab	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpk	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpl	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Elavl1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ilf3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Khsrp	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Matr3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Myef2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Mybbp1a	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ptbp1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Raly	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbm3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbm4	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbmxl1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rnf2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Khdrbs1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Sap18	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf5	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Tra2b	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ssb	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Alyref	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Zfr	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Xrn2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpdl	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpu	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Nono	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ddx39b	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ptbp2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbm14	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rybp	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Spen	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Syncrip	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Wtap	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Sarnp	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Sltm	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ddx17	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ilf2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rnmt	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ddx39	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ciz1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpul2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Sfpq	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpll	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Poldip3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpr	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Pcgf5	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpm	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpa0	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srrt	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbfox2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Trim6	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf9	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rnf20	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Igf2bp1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Igf2bp3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Eif4a3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Safb2	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Safb	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Srsf7	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnpa3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Rbm15	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Tardbp	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ythdc1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Fus	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Fubp3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	L1td1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Hnrnph3	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Trim71	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Atrx	RNA-Protein	Binding	Mus musculus	ATRX unexpectedly functions as a high-affinity RNA-binding protein that directly interacts with RepA/Xist RNA to promote loading of PRC2 in vivo.	mouse embryonic fibroblasts (MEF)	promote loading of PRC2	UV-crosslink RNA immunoprecipitation (UV-RIP)	25417162
Xist	Ezh2	RNA-Protein	Binding	Mus musculus	Our RIP-seq produced a specific and reproducible profile for the PRC2 transcriptome.	NULL	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659
Xist	Ezh2	RNA-Protein	Binding	Mus musculus	Ezh2 interacts with HOTAIR and Xist	NULL	NULL	in vitro binding assays	21123648
Xist	Hnrnpu	RNA-Protein	Binding	Mus musculus	hnRNP U Directly Interacts with Xist RNA via RGG RNA-Binding Domain	NULL	NULL	Immunoprecipitation of Xist RNA	20833368
Xist	Suz12	RNA-Protein	Binding	Mus musculus	Ezh2 - PRC2 subunit that makes direct contact with Xist in vitro	NULL	NULL	RIP	20542000
Xist	Ezh2	RNA-Protein	Binding	Mus musculus	a 1.6 kb ncRNA within Xist, called RepA, was found to bind the Polycomb complex PRC2 directly.	NULL	RepA depletion abolishes full-length Xist induction and H3-K27 trimethylation of the X. Likewise, PRC2 deficiency compromises Xist upregulation.	RIP	18974356
Xist	Hrh4	RNA-Protein	Regulation	Mus musculus	Experiments indicated that histone H3 lysine 27 trimethylation (H3K27m3) and H4 lysine 20 monomethylation (H4K20m1) are associated with Xist expression in undifferentiated ES cells and mark the initiation of X inactivation.	NULL	NULL	In vitro	15252442
Xist	Brca1	RNA-Protein	Binding	Mus musculus	BRCA1 associated with XIST RNA.	NULL	NULL	RNA-FISH	12419249
Xist	H3f3a	RNA-Protein	Binding	Mus musculus	A hotspot of H3 Lys-9 methylation situated upstream of Xist likely binds a chromodomain protein.	fibroblasts	X chromosome inactivation	ChIP	11747809
Xist	H2afy	RNA-Protein	Binding	Mus musculus	Xist RNA might directly interact with macroH2A1 or, alternatively, Xist RNA might alter chromatin structure in a way that facilitates the recruitment of macroH2A1.	NULL	NULL	In Vivo	11734999
Xist	H2afy	RNA-Protein	Binding	Mus musculus	macroH2A1 accumulated as MCBs that are associated with Xist RNA signals upon differentiation and concomitant X inactivation.	ES cells	NULL	immunofluorescence and FISH	10974005
Xist	Mecp2	DNA-TF	Binding	Mus musculus	Mecp2 bound to the Xist promoter	brain	NULL	ChIP	23611944
Xist	Pou5f1	DNA-TF	Binding	Mus musculus	Xist is dually regulated by the antisense Tsix RNA and by the Oct4 pluripotency factor.	ES cell	NULL	Chromatin immunoprecipitations (ChIPs)	20727175
Xist	Satb1	DNA-TF	Regulation	Mus musculus	Identification ofSATB1as a Silencing Factor forXist	lymphoma	Loss of SATB1 in tumor cells abrogates the silencing function of Xist.	in vitro	19386260
Xist	Nanog	DNA-TF	Binding	Mus musculus	Oct4, Sox2, and Nanog bind the first intron of the Xist gene(intron1)	ESCs	NULL	immunostaining/FISH	18802003
Xist	Pou5f1	DNA-TF	Binding	Mus musculus	Oct4, Sox2, and Nanog bind the first intron of the Xist gene(intron1)	ESCs	NULL	chip-qPCR	18802003
Xist	Sox2	DNA-TF	Binding	Mus musculus	Oct4, Sox2, and Nanog bind the first intron of the Xist gene(intron1)	ESCs	NULL	chip-qPCR	18802003
Xist	Mbd2	DNA-TF	Binding	Mus musculus	Mbd2 binds directly to the Xist gene and contributes to the formation of transcriptionally inert chromatin.	fibroblast	NULL	Chromatin immunoprecipitation (ChIP)	17353271
Xist	Rlim	DNA-Protein	Binding	Mus musculus	RNF12 initiates XCI independent of pluripotency factor binding toXistintron 1	ES cells	NULL	RNA FISH	21298085
Xist	Atrx	DNA-Protein	Binding	Mus musculus	The ATRX protein is preferentially enriched at DNA sequences 5' of the Xist locus in female embryonic fibroblasts	somatic cells ;embryonic stem (ES) cells;trophoblast stem (TS) cells	NULL	ChIP	19005673
Xist	Tsix	RNA-RNA	Regulation	Mus musculus	Xistis controlled by two RNA-based switches - Tsix for Xa, and Jpx for Xi	ES cell		RNA FISH	21029862
Xist	H2afy	RNA-Protein	Regulation	Mus musculus	These results demonstrate that Xist repression mainly affects macroH2A deposition, but not H3K27me3, on the Xi of pre-iPSCs.	Pluripotent Stem Cells	NULL	RNA FISH and Immunofluorescence Staining	24965076
Xist	Rlim	DNA-Protein	Binding	Mus musculus	Xist, a long non-coding RNA crucial for both forms of XCI, is activated by the ubiquitin ligase RLIM (also known as Rnf12).	mouse embryonic epiblast		RT-qPCR,RNA FISH and Immunohistochemical analysis 	24870238
Xist	Prdm14	DNA-Protein	Binding	Mus musculus	PRDM14 promotes XCR through repressing the Xist-activator Rnf12 and through Tsix-dependent binding to Xist intron 1	iPSCs and ESCs		Immunostainings and RNA-FISH	24268575
Xist	Tsix	RNA-RNA	Regulation	Mus musculus	At the onset of X inactivation, Tsix represses Xist accumulation in cis but does not restore random choice. These results identify for the first time a dual function for Tsix as both a repressor of the steady-state level of Xist expression and as a regulator of the distribution of Xist RNA within the nucleus.	ES cell line	NULL	FISH, Allele-specific RT-PCR	11440993
Xist	Ezh2	RNA-Protein	Binding	Mus musculus	In contrast to the EMSA results, in addition to a band of the expected molecular weight detected with SUZ12 we also detected a complex that corresponds to EZH2 complexed with 1 rep Wt RNA	-	-	EMSA	26177152
Xist	Suz12	RNA-Protein	Binding	Mus musculus	In contrast to the EMSA results, in addition to a band of the expected molecular weight detected with SUZ12 we also detected a complex that corresponds to EZH2 complexed with 2 rep Wt RNA	-	-	EMSA	26177152
Yam-1	Yy1	DNA-TF	Regulation	Mus musculus	YY1 is associated with lincRNA loci and positively regulatesYam-1	C2C12 cells	NULL	ChIP-seq	23942234
